epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6072,1.45692,4.34523,0.98773,0.00508,0.5419,0.17897,0.1026,1.01612,3.99057,0.84389,0.0001818,0.0001818,0.0001818
2,53.412,1.42194,2.84558,0.94571,0.00933,0.90123,0.287,0.17608,1.10295,3.41743,0.85792,0.00037146,0.00037146,0.00037146
3,69.348,1.35871,2.22536,0.94093,0.01083,0.98564,0.46542,0.30438,1.07615,3.00913,0.86323,0.00055986,0.00055986,0.00055986
4,82.7282,1.30842,1.91397,0.95403,0.89969,0.11762,0.67043,0.4677,1.0876,2.62924,0.85846,0.000747001,0.000747001,0.000747001
5,96.8888,1.26019,1.67654,0.94423,0.75831,0.52708,0.80455,0.5468,1.13263,2.08188,0.88028,0.000897001,0.000897001,0.000897001
6,108.595,1.27315,1.57917,0.94104,0.69965,0.74365,0.81607,0.55805,1.15471,1.56465,0.88645,0.000894001,0.000894001,0.000894001
7,121.497,1.25849,1.47091,0.95129,0.66349,0.78518,0.78432,0.58604,0.99587,1.27352,0.86164,0.000891002,0.000891002,0.000891002
8,135.695,1.18032,1.3651,0.93963,0.73195,0.92182,0.87231,0.65374,0.96921,0.96871,0.85321,0.000888002,0.000888002,0.000888002
9,147.646,1.23333,1.33168,0.93328,0.83545,0.92059,0.89078,0.65748,1.01515,0.91559,0.87442,0.000885002,0.000885002,0.000885002
10,159.479,1.20986,1.26222,0.93808,0.88953,0.80596,0.88122,0.64325,1.05478,0.92226,0.88879,0.000882003,0.000882003,0.000882003
11,173.328,1.1875,1.19055,0.93477,0.8422,0.85254,0.88846,0.63543,1.03994,0.93132,0.86069,0.000879003,0.000879003,0.000879003
12,186.028,1.18281,1.13478,0.92222,0.85771,0.8633,0.93527,0.66156,1.07927,0.88946,0.87152,0.000876003,0.000876003,0.000876003
13,197.641,1.16581,1.11189,0.92867,0.74681,0.93436,0.93956,0.68691,1.02574,0.87675,0.86656,0.000873004,0.000873004,0.000873004
14,211.828,1.15461,1.05538,0.91748,0.894,0.85106,0.91381,0.67569,1.00616,0.83268,0.87456,0.000870004,0.000870004,0.000870004
15,224.697,1.15664,1.05606,0.92161,0.81526,0.88382,0.88066,0.63326,1.02361,0.86579,0.87904,0.000867004,0.000867004,0.000867004
