                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2874,                 3.9475,                 1.0026,                0.00205,                0.35714,                0.01508,                0.00987,                 1.0877,                 4.1903,                0.93137,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.2638,                 3.8525,                0.96872,                0.00348,                0.61607,                0.03115,                0.02214,                0.95809,                 4.1777,                0.91188,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                 1.1832,                 3.4627,                0.93409,                0.00349,                0.61607,                0.11656,                0.06575,                 0.9371,                 4.1134,                0.90081,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.0993,                 3.1305,                0.94034,                0.00415,                0.78274,                0.17327,                0.12335,                 1.0361,                   4.08,                0.91387,             0.00012933,             0.00012933,             0.00012933
                      5,                 1.1576,                 2.7122,                 0.9774,                0.00505,                0.88095,                0.26099,                0.17425,                0.98523,                 4.0682,                 0.8804,             0.00016114,             0.00016114,             0.00016114
                      6,                  1.094,                 2.3178,                0.96732,                0.00515,                0.88095,                0.31601,                0.21146,                0.97206,                 4.0857,                0.86917,             0.00019146,             0.00019146,             0.00019146
                      7,                 1.1177,                 2.2443,                0.94877,                0.00442,                0.80952,                0.39666,                0.26888,                0.97665,                 4.0512,                0.87155,              0.0002203,              0.0002203,              0.0002203
                      8,                 1.1685,                  1.971,                0.95503,                0.00473,                0.84524,                0.44876,                0.29328,                0.98604,                 4.0705,                0.87685,             0.00024765,             0.00024765,             0.00024765
                      9,                 1.1728,                 2.1069,                 0.9463,                0.00468,                0.84524,                0.47195,                0.31863,                0.98042,                  4.013,                0.88346,             0.00027352,             0.00027352,             0.00027352
                     10,                 1.1836,                 1.8778,                0.96168,                0.00444,                 0.7619,                0.46535,                0.32196,                0.93966,                 4.0168,                0.88518,              0.0002979,              0.0002979,              0.0002979
                     11,                 1.1142,                 1.7153,                0.95826,                0.00482,                0.84524,                 0.4693,                0.33136,                0.95867,                 4.0293,                0.88258,              0.0003208,              0.0003208,              0.0003208
                     12,                 1.0766,                 1.5391,                0.91797,                0.00561,                0.91667,                0.44822,                0.32362,                 0.9391,                 4.0301,                0.87765,             0.00034221,             0.00034221,             0.00034221
                     13,                 1.0661,                 1.5751,                0.92144,                0.00513,                0.88095,                0.44169,                0.27737,                0.94425,                 3.9747,                0.90024,             0.00036214,             0.00036214,             0.00036214
                     14,                 1.1181,                 1.5829,                0.95702,                0.00519,                0.83333,                0.43017,                0.26166,                0.95641,                 3.9703,                0.91266,             0.00038058,             0.00038058,             0.00038058
                     15,                 1.0268,                 1.4641,                0.94317,                0.00574,                0.91667,                0.42594,                0.29226,                0.98843,                 3.9562,                0.94286,             0.00039754,             0.00039754,             0.00039754
                     16,                 1.0985,                 1.5778,                0.96555,                0.00539,                0.83333,                0.41987,                0.27083,                 1.0126,                 3.9618,                0.95442,             0.00041301,             0.00041301,             0.00041301
                     17,                 1.0134,                 1.3366,                0.92677,                0.00525,                0.83333,                0.39207,                0.24789,                 1.0071,                 3.8897,                0.93447,               0.000427,               0.000427,               0.000427
                     18,                 1.0586,                  1.408,                0.95949,                0.00475,                0.79762,                0.38678,                0.22246,                0.99081,                 3.8287,                0.93591,              0.0004395,              0.0004395,              0.0004395
                     19,                 1.0128,                 1.2856,                0.94444,                0.00433,                 0.7619,                0.39717,                0.23006,                 1.0342,                 3.8052,                 0.9671,             0.00045052,             0.00045052,             0.00045052
